Codigo_Sucursal,Fecha_Venta,Codigo_Producto,Unidades_Vendidas,Total
11,02/01/2020,P105400,486,1324.5
12,02/01/2020,P407780,80,218
1,02/01/2020,P407780,366,1000.5
1,02/01/2020,P185447,504,302.4
6,02/01/2020,P958288,1452,1102.8
11,02/01/2020,P407780,1440,3920
12,02/01/2020,P513865,24,72
9,02/01/2020,P105400,114,325.8
9,02/01/2020,P407780,171,480.1
12,02/01/2020,P165627,42,33.6
4,02/01/2020,P185447,24,17.65
4,02/01/2020,P165627,112,84
1,02/01/2020,P513865,4,12
4,02/01/2020,P407780,376,1028.6
5,02/01/2020,P407780,516,1405
6,02/01/2020,P513865,723,2254.75
1,02/01/2020,P105400,294,804.5
5,02/01/2020,P185447,156,93.6
12,02/01/2020,P185447,154,94.8
6,02/01/2020,P407780,258,703.5
6,02/01/2020,P185447,212,129.6
12,02/01/2020,P105400,173,473.75
1,02/01/2020,P165627,12,9
12,02/01/2020,P958288,42,33.6
11,02/01/2020,P165627,60,49.2
11,02/01/2020,P185447,324,194.4
5,02/01/2020,P958288,10,11
6,02/01/2020,P105400,366,996.5
6,02/01/2020,P165627,696,528.6
5,03/01/2020,P407780,26,73.8
1,03/01/2020,P105400,432,1186
1,03/01/2020,P513865,24,71.3
6,03/01/2020,P165627,384,317.4
12,03/01/2020,P185447,48,28.8
6,03/01/2020,P407780,174,474.5
12,03/01/2020,P407780,152,416
1,03/01/2020,P407780,648,1780
1,03/01/2020,P958288,300,225
4,03/01/2020,P165627,132,103.2
4,03/01/2020,P958288,84,67.2
6,03/01/2020,P105400,102,278.5
6,03/01/2020,P041436,36,136.8
5,03/01/2020,P105400,168,458
11,03/01/2020,P165627,24,26.4
11,03/01/2020,P407780,12,33
11,03/01/2020,P958288,12,13.2
6,03/01/2020,P513865,6,18
9,03/01/2020,P513865,60,196.5
9,03/01/2020,P105400,432,1203.6
12,03/01/2020,P165627,162,124.15
4,03/01/2020,P269262,360,1247.5
4,03/01/2020,P407780,372,1013
5,03/01/2020,P185447,360,216
12,03/01/2020,P958288,54,43.15
5,03/01/2020,P165627,456,357.15
6,03/01/2020,P958288,324,271.2
11,03/01/2020,P105400,36,99
1,03/01/2020,P185447,12,9.6
4,03/01/2020,P105400,78,219.4
5,03/01/2020,P958288,96,77.8
9,03/01/2020,P407780,360,1000
12,03/01/2020,P105400,158,432.5
12,03/01/2020,P513865,68,202.6
1,03/01/2020,P165627,12,13.2
11,03/01/2020,P185447,60,36
11,04/01/2020,P185447,48,31.2
1,04/01/2020,P105400,602,1657.8
5,04/01/2020,P105400,12,39.9
11,04/01/2020,P105400,144,392
6,04/01/2020,P407780,84,229
